year,rank,iid,name,city,state,total_score,TLR,RP,GO,OI,PR
2025,34,IR-E-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,59.01,76.86,55.65,64.17,41.19,23.0
2025,35,IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,58.95,77.55,48.67,69.94,66.84,4.12
2025,36,IR-E-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,58.79,78.64,47.76,60.32,77.29,10.76
2025,37,IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,58.53,66.68,65.39,62.04,59.02,6.04
2025,38,IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,58.45,75.84,43.22,70.72,63.32,22.58
2025,39,IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,58.22,74.57,39.14,75.07,62.69,28.27
2025,40,IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,58.02,80.47,35.94,73.7,72.8,10.76
2025,41,IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,57.96,76.35,50.35,64.94,53.35,16.24
2025,42,IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,57.45,69.29,51.84,70.23,60.14,10.48
2025,43,IR-E-U-0564,UPES,Dehradun,Uttarakhand,56.99,71.34,55.5,54.26,62.65,18.16
2025,44,IR-E-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,56.58,71.55,44.33,71.94,56.04,18.16
2025,45,IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,56.55,75.77,61.58,40.58,71.22,1.07
2025,46,IR-E-U-0329,Symbiosis International,Pune,Maharashtra,56.22,69.68,51.85,65.38,54.68,12.13
2025,47,IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,56.08,71.29,43.96,70.01,57.78,17.21
2025,48,IR-E-U-0379,Lovely Professional University,Phagwara,Punjab,55.99,63.04,52.88,62.53,66.88,20.21
2025,49,IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,55.94,71.25,38.14,77.92,58.39,16.97
2025,50,IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,55.91,66.6,51.48,70.15,54.71,9.92
2025,51,IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,55.28,76.22,40.21,66.03,52.07,19.31
2025,52,IR-E-U-0555,Graphic Era University,Dehradun,Uttarakhand,55.26,68.63,55.33,47.5,58.38,27.34
2025,53,IR-E-U-0072,National Institute of Technology Patna,Patna,Bihar,53.89,58.95,51.69,73.81,53.01,6.35
2025,54,IR-E-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,53.63,66.32,37.75,70.93,52.44,29.71
2025,55,IR-E-U-0374,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab,53.38,71.26,40.49,61.88,62.76,11.86
2025,56,IR-E-U-0906,Indian Institute of Technology Jammu,Jammu,Jammu and Kashmir,53.08,80.73,31.9,60.05,57.78,15.0
2025,57,IR-E-U-0844,"Indian Institute of Technology, Tirupati",Tirupati,Andhra Pradesh,52.73,81.96,22.84,66.17,54.0,26.59
2025,58,IR-E-U-0749,Manipal University Jaipur,Jaipur,Rajasthan,52.69,71.67,40.11,58.63,69.16,5.09
2025,59,IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,52.55,68.27,41.71,60.77,58.59,15.5
2025,60,IR-E-U-0739,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,52.45,76.52,24.75,68.59,71.41,12.13
2025,61,IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,52.44,75.88,25.19,66.94,60.04,27.34
2025,62,IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,52.15,63.15,37.51,74.36,55.38,15.5
2025,63,IR-E-U-0105,Indraprastha Institute of Information Technology,New Delhi,Delhi,51.33,66.46,30.17,73.74,52.74,23.21
2025,64,IR-E-U-0878,Indian Institute of Technology Palakkad,Palakkad,Kerala,51.2,74.28,26.02,62.17,65.91,20.87
2025,65,IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,50.79,62.76,29.35,71.26,69.51,19.53
2025,66,IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,50.77,62.42,42.99,62.65,54.21,11.86
2025,67,IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,50.64,70.44,36.38,51.69,71.85,10.76
2025,67,IR-E-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,50.64,70.17,26.31,60.36,47.52,48.83
2025,69,IR-E-U-0221,International Institute of Information Technology Bangalore,Bengaluru,Karnataka,50.46,68.33,24.19,71.27,59.94,24.63
2025,70,IR-E-C-6379,Netaji Subhas University of Technology (NSUT),Delhi,Delhi,50.43,68.09,27.14,73.77,51.97,19.08
2025,71,IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,50.38,70.41,24.74,71.47,71.39,4.12
2025,72,IR-E-U-0946,Indian Institute of Technology Bhilai,Durg,Chhattisgarh,50.37,76.99,24.97,65.13,59.02,8.47
2025,73,IR-E-U-0197,National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,50.23,62.39,35.08,69.97,64.33,5.73
2025,74,IR-E-U-0042,University of Hyderabad,Hyderabad,Telangana,49.36,66.49,50.21,43.44,48.99,7.57
2025,75,IR-E-C-1331,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,49.26,70.38,28.02,62.77,56.51,15.5
2025,76,IR-E-U-0217,Christ University,Bengaluru,Karnataka,49.03,65.63,47.28,34.52,63.03,19.53
2025,77,IR-E-U-0899,Indian Institute of Technology Dharwad,Dharwad,Karnataka,48.61,74.99,17.71,63.79,57.85,22.58
2025,78,IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,48.52,77.78,20.12,67.42,55.98,0.72
2025,79,IR-E-U-0384,Sant Longowal Institute of Engineering & Technology,Longowal,Punjab,48.42,78.11,26.83,51.16,66.44,0.72
2025,80,IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,48.27,71.7,21.52,58.2,69.39,17.21
2025,81,IR-E-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,48.26,54.74,36.36,73.26,52.93,9.92
2025,82,IR-E-U-0207,"National Institute of Technology, Jamshedpur",Jamshedpur,Jharkhand,48.25,59.72,28.9,75.79,58.58,6.35
2025,83,IR-E-U-0619,National Institute of Technology Meghalaya,Shillong,Meghalaya,48.21,66.48,30.77,62.31,58.46,7.27
2025,84,IR-E-U-0223,"Jain university,Bangalore",Bengaluru,Karnataka,48.01,68.49,40.87,42.99,62.18,3.79
2025,85,IR-E-U-0172,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,47.98,53.75,37.48,66.64,55.43,17.45
2025,86,IR-E-U-0092,"National Institute of Technology, Raipur",Raipur,Chhattisgarh,47.59,54.86,39.87,66.26,54.45,4.77
2025,87,IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,47.43,66.71,35.76,46.01,67.33,7.57
2025,88,IR-E-C-24004,AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,47.37,76.16,13.15,61.81,78.27,3.79
2025,89,IR-E-U-0373,Chitkara  University,Rajpura,Punjab,47.34,50.97,49.46,51.93,62.79,5.41
2025,90,IR-E-U-1257,COEP Technological University,Pune,Maharashtra,47.31,61.16,24.82,67.69,50.9,28.82
2025,91,IR-E-C-19754,SR University,Warangal,Telangana,47.16,73.64,21.78,55.79,64.97,8.76
2025,92,IR-E-U-0297,Defence Institute of Advanced Technology,Pune,Maharashtra,46.98,68.7,36.01,52.12,47.02,4.45
2025,93,IR-E-U-0078,Panjab University,Chandigarh,Chandigarh,46.9,47.57,44.46,56.8,63.47,15.75
2025,94,IR-E-U-0017,Jawaharlal Nehru Technological University,Hyderabad,Telangana,46.74,75.17,22.4,49.61,67.59,7.87
2025,95,IR-E-C-30045,"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,46.62,77.56,10.31,59.54,71.59,11.86
2025,96,IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,46.25,60.53,19.76,77.19,58.72,8.47
2025,97,IR-E-U-0189,National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,46.1,55.31,32.51,65.33,57.57,9.34
2025,98,IR-E-U-0147,Pandit Deendayal Energy University,Gandhinagar,Gujarat,45.97,61.15,38.82,58.4,38.87,4.12
2025,99,IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,45.83,60.59,25.67,61.86,63.73,12.13
2025,100,IR-E-C-36995,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,45.55,68.47,22.35,63.4,49.25,6.97
2024,1,IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,89.46,95.79,93.1,81.07,65.85,100.0
2024,2,IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,86.66,85.71,92.2,84.52,65.39,98.53
2024,3,IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,83.09,86.34,84.18,84.78,58.67,91.13
2024,4,IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,82.79,94.25,74.08,89.05,60.62,84.19
2024,5,IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,76.88,78.22,79.28,79.16,57.83,80.26
2024,6,IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,76.0,77.72,74.7,87.35,62.2,65.79
2024,7,IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,71.86,76.81,68.07,84.48,59.56,55.38
2024,8,IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,71.55,88.73,57.5,77.88,55.7,65.31
2024,9,IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,66.88,69.69,57.02,78.69,63.12,68.07
2024,10,IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,66.69,66.26,60.16,84.78,57.89,60.05
2024,11,IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,66.22,65.52,71.94,69.4,61.75,49.28
2024,12,IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,65.62,78.24,59.47,76.55,48.89,41.13
2024,13,IR-E-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,65.41,78.11,68.7,64.6,66.85,17.57
2024,14,IR-E-U-0439,Anna University,Chennai,Tamil Nadu,65.34,65.94,71.32,63.43,48.67,65.97
2024,15,IR-E-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,64.83,73.39,60.91,75.94,59.84,33.72
2024,16,IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,64.72,79.79,55.21,75.82,60.67,29.9
2024,17,IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,64.27,74.65,49.04,78.44,62.31,52.37
2024,18,IR-E-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,63.42,88.39,42.21,70.33,65.56,36.08
2024,19,IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,63.38,76.49,57.0,73.24,59.41,27.38
2024,20,IR-E-U-0391,"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,63.04,73.19,52.49,79.47,58.14,36.28
2024,21,IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,61.72,76.99,48.25,75.28,58.05,32.9
2024,22,IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,61.56,77.3,46.4,73.59,65.15,32.06
2024,23,IR-E-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,61.29,78.05,49.58,65.28,62.49,37.03
2024,24,IR-E-U-0108,Jamia Millia Islamia,New Delhi,Delhi,61.28,66.48,58.75,75.46,66.84,19.33
2024,25,IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,61.19,77.36,37.59,79.48,67.93,40.1
2024,26,IR-E-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,60.97,82.08,42.44,66.25,73.63,30.12
2024,27,IR-E-U-0098,Delhi Technological University,New Delhi,Delhi,60.78,73.1,43.87,76.17,55.57,49.0
2024,28,IR-E-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,60.61,87.05,40.25,72.26,66.24,13.5
2024,29,IR-E-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,60.35,70.75,51.69,73.58,64.01,24.95
2024,30,IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,59.91,75.21,59.52,61.72,63.28,8.23
2024,31,IR-E-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,59.86,74.9,41.8,79.03,70.51,19.9
2024,32,IR-E-U-0747,Chandigarh University,Mohali,Punjab,59.82,76.22,45.76,66.21,75.56,24.19
2024,33,IR-E-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,59.16,75.47,58.68,63.11,41.23,21.83
2024,34,IR-E-U-0064,Indian Institute of Technology Patna,Patna,Bihar,58.4,67.22,49.41,77.73,53.0,25.69
2024,35,IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,58.24,74.84,47.52,65.41,66.32,18.17
2024,36,IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,58.2,78.67,38.81,71.56,76.14,10.42
2024,37,IR-E-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,58.0,78.06,42.99,62.03,76.29,16.36
